Ticker,Open,Close,Volume,PrevClose,DailyReturn,PrevReturn
^NSEI,22460.3,22399.15,0,22535.85,-0.002723,-0.003352
^BSESN,74103.83,73847.15,0,74227.08,-0.003464,-0.00166
RELIANCE.NS,1169.5,1185.35,10221542,1182.2,0.013553,-0.010743
TCS.NS,3260.55,3246.6,2988692,3292.95,-0.004278,-0.009839
INFY.NS,1405.05,1403.7,8545774,1428.8,-0.000961,-0.016622
HDFCBANK.NS,1765,1765,11226835,1769.15,0,-0.002346
ICICIBANK.NS,1304.95,1300.8,13005547,1299.9,-0.00318,0.003885
LT.NS,3158.8,3054.15,4450332,3161.1,-0.03313,-0.000728
AXISBANK.NS,1073.1,1061.65,6689500,1077.85,-0.01067,-0.004407
SBIN.NS,767,742.2,11311902,768.6,-0.032334,-0.002082
HINDUNILVR.NS,2293.95,2350,2988684,2289.25,0.024434,0.002053
ITC.NS,413,416.3,21782645,412.55,0.00799,0.001091
KOTAKBANK.NS,2054,2052.7,3919525,2055.15,-0.000633,-0.00056
BHARTIARTL.NS,1719.65,1715.55,5600151,1720.4,-0.002384,-0.000436
WIPRO.NS,240.7,236.65,19060541,247.25,-0.016826,-0.026491
ASIANPAINT.NS,2400,2411.15,1186099,2394.2,0.004646,0.002423
DMART.NS,4053.85,4139.3,662951,4053.85,0.021079,0
SUNPHARMA.NS,1650,1652.2,3481774,1688.35,0.001333,-0.022714
NESTLEIND.NS,2283.2,2344.85,1853182,2275.4,0.027002,0.003428
HCLTECH.NS,1380.65,1380,3306773,1403.35,-0.000471,-0.016176
BAJFINANCE.NS,8815,8735.8,1048741,8822.25,-0.008985,-0.000822
ULTRACEMCO.NS,11288.85,11397.05,230604,11270.45,0.009585,0.001633
TITAN.NS,3137.85,3174.15,1215969,3122.3,0.011568,0.00498
TECHM.NS,1290,1272.75,3724360,1314.4,-0.013372,-0.018564
BAJAJFINSV.NS,1899,1895.7,1394734,1903.2,-0.001738,-0.002207
ADANIENT.NS,2265.7,2236.9,1001588,2285.7,-0.012711,-0.00875
JSWSTEEL.NS,945.15,945.55,1773645,954.6,0.000423,-0.009899
NTPC.NS,354,349.35,7460999,352.95,-0.013136,0.002975
POWERGRID.NS,289.95,293.4,21340674,288.95,0.011899,0.003461
COALINDIA.NS,382.3,374.6,5780311,382.85,-0.020141,-0.001437
BPCL.NS,288.7,287.95,14517840,285.9,-0.002598,0.009794
ONGC.NS,222,221.94,16888610,226.66,-0.00027,-0.020559
IOC.NS,132,131.62,14758501,130.98,-0.002879,0.007787
TATAMOTORS.NS,588,582.9,17479395,588.85,-0.008673,-0.001443
MARUTI.NS,11460.1,11457.4,255111,11458.9,-0.000236,0.000105
EICHERMOT.NS,5270.55,5258.3,472300,5231.35,-0.002324,0.007493
HEROMOTOCO.NS,3590,3610.9,584524,3574.15,0.005822,0.004435
BAJAJ-AUTO.NS,7525.45,7572.3,261168,7498.05,0.006225,0.003654
CIPLA.NS,1416.5,1415.6,1701234,1432.55,-0.000635,-0.011204
DIVISLAB.NS,5300,5386.15,458059,5387.3,0.016255,-0.016205
GRASIM.NS,2562.5,2557.75,494014,2590.05,-0.001854,-0.010637
DRREDDY.NS,1094.5,1094.05,5510421,1107.95,-0.000411,-0.012139
HINDALCO.NS,567.75,564,7009069,568.35,-0.006605,-0.001056
TATASTEEL.NS,130,127.18,73391228,130.28,-0.021692,-0.002149
INDUSINDBK.NS,679.65,678.55,4242344,679.65,-0.001619,0
BRITANNIA.NS,5149.5,5339.45,549682,5179.35,0.036887,-0.005763
M&M.NS,2540,2523.1,3346844,2523.65,-0.006654,0.006479
ADANIPORTS.NS,1133.85,1131.8,1537137,1131.35,-0.001808,0.00221
SHREECEM.NS,30409.05,30370.25,39072,30433.2,-0.001276,-0.000793
SBILIFE.NS,1488,1481.65,1047941,1488,-0.004267,0
ICICIPRULI.NS,557,568.85,1371993,557,0.021275,0
HDFCLIFE.NS,685.5,684.8,3054705,685.75,-0.001021,-0.000365
